No,Category,Word,POS,Phonetic,Meaning,Synonym,Example_EN,Example_JA,Level
0619,,affair,名,/əˈfɛɹ/,[名] ①事態、情勢 ②出来事 ③事件、スキャンダル,,University students should learn more about foreign affairs.,大学生は，海外の問題についてもっと学ぶべきだ。,基本単語
0620,,loose,形,/ˈɫus/,[形] ゆるい、グラグラした,,"One leg of the table is becoming loose, so you should fix it.",そのテーブルの脚が１本ゆるんできているので，直す必要がある。,基本単語
0621,,grateful,形,/ˈɡɹeɪtfəɫ/,[形] 感謝している,,I’m so grateful for your help.,私は，あなたの手助けにとても感謝しています。,基本単語
0622,,strip,名 / 動,/ˈstɹɪp/,[名] 細長い切れ / [動] をはぎ取る,,I wrote my wish on a strip of paper.,私は，自分の願いごとを細長い紙切れに書いた。,基本単語
0623,,naked,形,/ˈneɪkəd/,[形] ①裸の ②肉眼の ③むき出しの,,There are some planets that can be seen with the naked eye.,肉眼で見ることができる惑星がいくつかある。,基本単語
0624,,pity,名,/ˈpɪti/,[名] ①残念なこと ②同情、哀れみ,,It’s a pity that you’ve decided to quit this job.,あなたがこの仕事を辞める決断をしたのは残念です。,基本単語
0625,,trap,名 / 動,/ˈtɹæp/,[名] わな / [動] をわなで捕らえる,,They set up a trap for the bear.,彼らはクマを捕まえるためのわなを仕掛けた。,基本単語
0626,,celebrate,動,/ˈsɛɫəˌbɹeɪt/,[動] を祝う,,My friends held a party to celebrate my getting a new job.,私の友人たちは，私が新しい仕事に就いたことを祝うパーティーを開いてくれた。,基本単語
0627,,dig,動,/ˈdɪɡ/,[動] を掘る,,Dogs often dig holes in the ground.,イヌはよく地面に穴を掘る。,基本単語
0628,,beg,動,/ˈbɛɡ/,[動] ①を懇願する ②（物）を恵んでくれと言う,,He begged me to lend him some money.,彼は私に，お金を貸してくれと懇願した。,基本単語
0629,,wander,動,/ˈwɑndɝ/,[動] ①歩き回る ②さまよう,,Sometimes wild animals wander into this town in search of food.,ときどき，野生動物が食べ物を求めてこの町に迷い込むことがある。,基本単語
0630,,jar,名,/ˈdʒɑɹ/,[名] （広口の）びん,,I need to buy another jar of strawberry jam.,私は，イチゴジャムをもう１びん買う必要がある。,基本単語
0631,,caring,形,/ˈkɛɹɪŋ/,[形] 思いやりのある,,The two kind children were raised by caring parents.,その心優しい２人の子どもは，思いやりのある両親に育てられた。,基本単語
0632,,dissatisfied,形,/dɪˈsætəsˌfaɪd/,[形] 不満な,,"She was dissatisfied with her job, so she decided to look for a new one.",彼女は自分の仕事に不満があったので，別の仕事を探すことにした。,基本単語
0633,,equator,名,/ɪˈkweɪtɝ/,[名] 赤道,,"That country is close to the equator, so it’s very hot all year round.",その国は赤道に近いので，一年中とても暑い。,基本単語
0634,,layout,名,/ˈɫeɪˌaʊt/,[名] 配置,,They changed the layout of the store to increase sales.,彼らは，売り上げを伸ばすために売り場の配置を変えた。,基本単語
0635,,mood,名,/ˈmud/,[名] ①気分、機嫌 ②雰囲気,,I’m not in the mood to listen to music now.,私は，今は音楽を聞きたい気分ではない。,基本単語
0636,,ongoing,形,"/ˈɑnˌɡoʊɪŋ/, /ˈɔnˌɡoʊɪŋ/",[形] 進行中の,,"The economic slowdown is an ongoing problem, and it has to be solved.",経済の減速は今も進行中の問題で，解決されなければならない。,基本単語
0637,,pursue,動,/pɝˈsu/,[動] を追求する,,My high school teacher always told me to pursue my dream.,高校での私の先生は，いつも私に自分の夢を追求しなさいと言っていた。,基本単語
0638,,rubbish,名,/ˈɹəbɪʃ/,[名] ゴミ,,Household rubbish is collected every Monday and Thursday.,家庭から出るゴミは，毎週月曜日と木曜日に収集される。,基本単語
0639,,string,名,/ˈstɹɪŋ/,[名] ひも,,The girl let go of the string of the balloon and it flew away.,その女の子は風船のひもを放してしまい，その風船は飛んで行った。,基本単語
0640,,thin,形,/ˈθɪn/,[形] 薄い,,The paper is so thin that you can see through it.,その紙はとても薄いので，後ろが透けて見える。,基本単語
0641,,thread,名,/ˈθɹɛd/,[名] 糸,,Can you put thread through the eye of a needle?,あなたは，針の穴に糸を通すことができますか。,基本単語
0642,,aerobic,形,/ɛˈɹoʊbɪk/,[形] 有酸素の,,Aerobic exercise such as jogging is good for you.,ジョギングなどの有酸素運動は，体によい。,基本単語
0643,,genre,名,/ˈʒɑnɹə/,[名] ジャンル,,The writer was a master in the genre of science-fiction.,その作家は，SFのジャンルでの大家だった。,基本単語
0644,,hedge,名,/ˈhɛdʒ/,[名] 生け垣,,She planted beautiful flowers as a hedge between her house and the street.,彼女は，自分の家と通りの間の生け垣として美しい花を植えた。,基本単語
0645,,brook,名,/ˈbɹʊk/,[名] 小川,,A quiet brook runs through the forest.,流れの静かな小川がその森の中を流れている。,基本単語
0646,,currency,名,/ˈkɝənsi/,[名] ①通貨 ②流通,,What is the currency of Spain?,スペインの通貨は何ですか。,基本単語
0647,,hardship,名,/ˈhɑɹdʃɪp/,[名] 苦難、困難,,He overcame many hardships and finally succeeded in business.,彼は多くの苦難を乗り越え，とうとうビジネスで成功を収めた。,基本単語
0648,,peel,動,/ˈpiɫ/,[動] を剥がす,,I found it difficult to peel the apple with a knife.,私は，ナイフでそのリンゴをむくのが難しいことに気づいた。,基本単語
0649,,reply,動 / 名,"/ɹiˈpɫaɪ/, /ɹɪˈpɫaɪ/",[動] 返信する / [名] 返事,,I replied to her email right after I received it.,私は，彼女からのメールを受け取るとすぐに返事をした。,基本単語
0650,,stove,名,/ˈstoʊv/,[名] ①調理用コンロ ②（石炭・まき）ストーブ,,The old stove in the kitchen needs to be repaired.,キッチンにあるその古いコンロは修理が必要だ。,基本単語
0651,,lean,動,/ˈɫin/,[動] ①傾く ②もたれる,,Don’t lean too far back in the chair.,その椅子にあまり深くもたれかからないでください。,基本単語
0652,,grind,動,/ˈɡɹaɪnd/,[動] （豆など）をひく、細かく砕く,,I grind coffee beans to make a cup of coffee every morning.,私は，毎朝コーヒーを入れるためにコーヒー豆をひく。,基本単語
0653,,recover,動,/ɹɪˈkəvɝ/,[動] ①を回復する ②を取り戻す,,It took her a week to fully recover from the flu.,彼女がインフルエンザから完全に回復するまで，１週間かかった。,基本単語
0654,,universal,形,/ˌjunəˈvɝsəɫ/,[形] ①世界共通の、普遍的な ②あらゆる用途に適した,,Smartphones have become a universal tool.,スマートフォンは汎用的なツールになっている。,基本単語
0655,,tough,形,/ˈtəf/,[形] ①困難な、厳しい ②たくましい、頑丈な,,It was a tough decision for me to quit my job.,仕事を辞めることは，私にとって難しい決断だった。,基本単語
0656,,stretch,動,/ˈstɹɛtʃ/,[動] ①を伸ばす ②及ぶ,,Stretch your arms and legs well before you swim.,泳ぐ前には，腕と脚をよくストレッチしてください。,基本単語
0657,,primitive,形,"/ˈpɹɪmətɪv/, /ˈpɹɪmɪtɪv/",[形] ①原始（時代）の ②原始的な,,"In the cave, they found examples of primitive art.",洞窟の中で，彼らは原始美術の実例を発見した。,基本単語
0658,,mediator,名,/ˈmidiˌeɪtɝ/,[名] ①仲介者 ②仲裁人,,The group acted as a mediator between the two countries.,そのグループは，その2つの国の仲介者としての役割を務めた。,基本単語
0659,,permanently,副,/ˈpɝmənəntɫi/,[副] 永久に,,"Unfortunately, the old building is now permanently closed.",残念ながら，その古い建物は今や無期限に閉鎖されている。,基本単語
0660,,grab,動,/ˈɡɹæb/,[動] をつかむ,,The monkey grabbed my banana and ate it.,そのサルが，私のバナナを奪い取って食べてしまった。,基本単語
0661,,superior,形,/suˈpɪɹiɝ/,[形] 優れている、上位の,,This new computer is superior to the old one in many ways.,この新しいコンピューターは，多くの点で旧型のものよりも優れている。,基本単語
0662,,imitate,動,/ˈɪməˌteɪt/,[動] をまねる,,The boy imitated the famous actor’s voice and we all laughed.,その少年は有名な俳優の声をまねたので，私たちの誰もが笑った。,基本単語
0663,,attach,動,/əˈtætʃ/,[動] ①を取り付ける、を貼り付ける,,"I have attached a file to this email, so please read it.",このメールにファイルを添付したので，それを読んでください。,基本単語
0664,,surround,動,/sɝˈaʊnd/,[動] を囲む,,The rock singer was surrounded by hundreds of his fans.,そのロック歌手は，何百人ものファンに取り囲まれた。,基本単語
0665,,fluent,形,/ˈfɫuənt/,[形] 流ちょうな,,"She is fluent in French, Spanish, and English.",彼女はフランス語，スペイン語，そして英語が堪能だ。,基本単語
0666,,transform,動,"/ˈtɹænsfɔɹm/, /tɹænsˈfɔɹm/",[動] ①を変形させる ②を変換する,,This bus transforms into a boat and can cross a river.,このバスは，ボートに形を変えて川を渡ることができる。,基本単語
0667,,confusing,形,/kənˈfjuzɪŋ/,[形] 混乱するような,,I had trouble finding his house because of his confusing directions.,彼のわかりにくい道案内のせいで，彼の家を見つけるのに苦労した。,基本単語
0668,,aggressive,形,/əˈɡɹɛsɪv/,[形] 攻撃的な、好戦的な,,"Elephants can be very aggressive, so don’t approach them.",ゾウはとても攻撃的になることがあるので，近づかないでください。,基本単語
0669,,alert,名 / 形,/əˈɫɝt/,[名] 警報、警戒態勢 / [形] 警戒した,,I got an alert on my phone before the earthquake happened.,その地震が起こる前に，私の携帯電話に警報がきた。,基本単語
0670,,widespread,形,/ˈwaɪdsˈpɹɛd/,[形] 幅広い、広く行き渡った,,The flood caused widespread damage to the town.,その洪水は，町に広範囲な被害を及ぼした。,基本単語
0671,,admission,名,"/ædˈmɪʃən/, /ədˈmɪʃən/",[名] ①入場料 ②入場許可,,"Admission is free, and everyone is welcome.",入場料は無料で，誰でも入れます。,基本単語
0672,,uncertainty,名,/ənˈsɝtənti/,[名] 不確実（性）,,The uncertainty of the economy is causing many people to worry.,経済状況の不確実性は，多くの人たちを不安にさせている。,基本単語
0673,,strain,動 / 名,/ˈstɹeɪn/,[動] ①を傷める ②を引っ張る / [名] ①重圧、負担 ②緊張,,I’ve been straining my eyes while reading many books.,私は多くの本を読んでいる間，ずっと目を酷使してきた。,基本単語
0674,,neglect,動 / 名,"/nəˈɡɫɛkt/, /nɪˈɡɫɛkt/",[動] ①をおろそかにする ②を怠る / [名] 怠慢、無視,,I neglected to write a thank-you letter but I should have.,私は感謝の手紙を書くのを怠ったが，そうするべきだった。,基本単語
0675,,boast,動,/ˈboʊst/,[動] を自慢する,,"He kept boasting of his success, but nobody was listening to him.",彼は自分の成功の自慢話を続けたが，誰も彼の言うことに耳を傾けていなかった。,基本単語
0676,,resolve,動,/ɹiˈzɑɫv/,[動] ①を解決する ②を決心する,,The people expected the President to resolve the economic problem.,国民は，大統領が経済問題を解決することを期待していた。,基本単語
0677,,overall,形,/ˈoʊvɝˌɔɫ/,[形] 総合で、全体として,,"It was cold outside, but overall, we had a good time at the outdoor event.",外は寒かったけれど，全体としては，その屋外イベントで私たちは楽しい時間を過ごした。,基本単語
0678,,endure,動,"/ɛnˈdjʊɹ/, /ɪnˈdʊɹ/",[動] を耐える,,We endured the noise during the construction work.,私たちは，その工事中の騒音をがまんした。,基本単語
0679,,shortage,名,"/ˈʃɔɹtədʒ/, /ˈʃɔɹtɪdʒ/",[名] 不足,,"As the population decreases, the labour shortage will get even worse.",人口が減少するにつれて，労働力不足はさらに深刻化するだろう。,基本単語
0680,,reform,名 / 動,"/ɹəˈfɔɹm/, /ɹɪˈfɔɹm/",[名] 改革、改正 / [動] を改善する,,Some politicians were against the tax reform.,一部の政治家は，税制改革に反対した。,基本単語
0681,,productive,形,"/pɝˈdəktɪv/, /pɹəˈdəktɪv/, /pɹoʊˈdəktɪv/",[形] 生産的な、生産性の高い,,We have been having a productive discussion with them.,私たちは，彼らと生産的な議論を行ってきた。,基本単語
0682,,steep,形,/ˈstip/,[形] （坂などが）険しい、（変化が）急な,,"The slope is very steep, so please take your time.",その坂道はとても急なので，ゆっくり進んでください。,基本単語
0683,,proverb,名,/ˈpɹɑvɝb/,[名] ことわざ,,"As the proverb goes, ‘A friend in need is a friend indeed’.",ことわざが言うように，「まさかの時の友こそ真の友」だ。,基本単語
0684,,reluctant,形,"/ɹiˈɫəktənt/, /ɹɪˈɫəktənt/",[形] 気の進まない、しぶしぶの,,"At first, I was reluctant to live with my husband’s parents.",最初，私は夫の両親と一緒に住むことに気が進まなかった。,基本単語
0685,,irregular,形,/ˌɪˈɹɛɡjəɫɝ/,[形] 不規則な,,Doctors often have irregular working hours.,医者の勤務時間は不規則なことが多い。,基本単語
0686,,tackle,動,/ˈtækəɫ/,[動] に取り組む,,"When you tackle a difficult problem, you should ask other people to help you.",難しい問題に取り組むとき，あなたはほかの人に手助けを求めるべきだ。,基本単語
0687,,apt,形,/ˈæpt/,[形] (be apt to do で) 〜しがちである,,Teenagers are apt to stay up late.,ティーンエイジャーは夜ふかしをしがちだ。,基本単語
0688,,burden,名 / 動,/ˈbɝdən/,[名] 重荷、負担 / [動] に重荷を負わせる,,The high cost of food is a burden on our family.,高い食費が，私たちの家庭の負担となっている。,基本単語
0689,,contrary,名 / 形,"/ˈkɑntɹɛɹi/, /kənˈtɹɛɹi/",[名] （正）反対、逆 / [形] 反対の、逆の,,"Contrary to popular belief, the Earth isn’t a perfect sphere.",一般に信じられていることに反して，地球は完全な球体ではない。,基本単語
0690,,somewhat,副,"/ˈsəmˈwət/, /ˈsəmhˈwət/",[副] やや、若干,,She thinks the movie is somewhat entertaining but the story lacks depth.,彼女の考えでは，その映画は少しばかりおもしろいが，ストーリーには深みがない。,基本単語
0691,,sum,名,/ˈsəm/,[名] ①合計 ②金額,,The total sum of donations we received was surprising and encouraging.,私たちが受け取った寄付金の合計金額は驚くほど多く，力づけられた。,基本単語
0692,,admit,動,/ədˈmɪt/,[動] を認める,,He refused to admit he was wrong even though it was clear that he was.,彼が間違っていることは明らかだったが，彼はそれを認めることを拒んだ。,基本単語
0693,,upset,動,"/ˈəpˌsɛt/, /əpˈsɛt/",[動] を動揺させる,,Some people easily get upset when things do not go their way.,物事が自分の思いどおりに進まないと，すぐに腹を立ててしまう人もいる。,基本単語
0694,,honour,名 / 動,/ˈɑnɝ/,[名] ①名誉 ②名声、評判 / [動] を高く評価する,,It was a great honour to receive the award from the president of the company.,会社の社長から賞をもらったのは，とても名誉なことだった。,基本単語
0695,,silly,形,/ˈsɪɫi/,[形] 愚かな,,The children made silly faces while waiting at the waiting space.,その子どもたちは，待合室で待っている間，ふざけて変な顔をしていた。,基本単語
0696,,pure,形,/ˈpjʊɹ/,[形] 純粋な,,The water from the river is pure and clean.,その川の水は，純粋で清潔だ。,基本単語
0697,,rush,動 / 名,/ˈɹəʃ/,[動] ①急いで行く ②殺到する / [名] 急ぐこと,,I rushed to mail the parcels before 5 o’clock.,私は，５時前に急いでその荷物を郵送した。,基本単語
0698,,tube,名,"/ˈtjub/, /ˈtub/",[名] ①管 ②地下鉄、(米) subway,,The tube inside the bicycle tire had a hole in it.,その自転車のタイヤのチューブには，穴が開いていた。,基本単語
0699,,promising,形,/ˈpɹɑməsɪŋ/,[形] 前途有望な,,"The interview went very well, and she is a promising candidate for the position.",その面接はとてもうまくいき，彼女はその職の有望な候補者である。,基本単語
0700,,nightmare,名,/ˈnaɪtˌmɛɹ/,[名] 悪夢,,"He woke up from a nightmare, feeling scared and strange.",彼は悪夢から目覚めると，恐くて不思議な感じがした。,基本単語
0701,,flash,動 / 名,/ˈfɫæʃ/,[動] きらめく / [名] きらめき、閃光,,"A camera flashed during the event, although taking photos was not allowed.",そのイベントの最中にカメラのフラッシュが光ったが，写真撮影は許可されていなかった。,基本単語
0702,,ugly,形,/ˈəɡɫi/,[形] 醜い、不快な,,The modern building is considered ugly compared to the older structures.,その近代的な建物は，昔からの建築物に比べて見苦しいと見なされている。,基本単語
0703,,twist,動 / 名,/ˈtwɪst/,[動] をねじる / [名] （話などの）意外な展開,,He twisted the cap off the bottle and drank the mineral water.,彼は，そのボトルのキャップをひねって開け，ミネラルウォーターを飲んだ。,基本単語
0704,,fond,形,/ˈfɑnd/,[形] (be fond of で) を好む,,"My children are fond of farm animals, and they enjoy playing with them.",私の子どもたちは農場の動物が好きで，一緒に遊ぶのを楽しんでいる。,基本単語
0705,,handy,形,/ˈhændi/,[形] ①手軽な、操縦しやすい ②手近な、便利な,,The multi-tool is very handy for various household repairs.,その万能工具は，家庭でのさまざまな修理作業にとても便利だ。,基本単語
0706,,boil,動,/ˈbɔɪɫ/,[動] 沸騰する,,"To cook the pasta, you need to boil a large pot of water with salt.",そのパスタをゆでるには，大きな鍋に塩を入れてお湯を沸かす必要がある。,基本単語
0707,,oppose,動,/əˈpoʊz/,[動] ①に反対する ②と対立する,,Many residents are opposing the construction of the new shopping mall.,多くの住民が，新しいショッピングモールの建設に反対している。,基本単語
0708,,imaginative,形,/ˌɪˈmædʒənətɪv/,[形] 創造力に富んだ、想像力豊かな,,The artist’s imaginative use of colour made the painting stand out.,そのアーティストの想像力豊かな色使いが，その絵を際立たせた。,基本単語
0709,,wipe,動,/ˈwaɪp/,[動] （汚れなど）をふく,,I often wipe my glasses because I like to see things clearly.,私は物をはっきり見たいので，よくメガネを拭く。,基本単語
0710,,weigh,動,/ˈweɪ/,[動] ①の重さがある ②の重さを量る,,You need to weigh the ingredients carefully for this recipe.,この調理法では，食材の重さを注意深く量る必要がある。,基本単語
0711,,brave,形,/ˈbɹeɪv/,[形] 勇敢な,,The man was incredibly brave in rescuing the family from the fire.,その男性は，驚くほど勇敢で，その火事から家族を救い出した。,基本単語
0712,,sightseeing,名,/ˈsaɪtˈsiɪŋ/,[名] 観光,,The popular tour includes sightseeing at the major landmarks and museums.,その人気ツアーには，主な史跡や美術館への観光が含まれている。,基本単語
0713,,admire,動,/ædˈmaɪɹ/,[動] にあこがれる、を敬愛する,,Her boss admires her dedication and hard work on the project.,彼女の上司は，そのプロジェクトに対する彼女の献身と多大の努力を称賛している。,基本単語
0714,,freeze,動,/ˈfɹiz/,[動] 凍る,,"The computer suddenly froze, but luckily I had saved the file.",そのコンピューターは突然動作を停止したが，幸いなことに私はそのファイルを保存していた。,基本単語
0715,,stripe,名,/ˈstɹaɪp/,[名] ストライプ、しま模様,,She wore a shirt with a bold stripe pattern for the event.,彼女は，そのイベントのために派手な縞模様のシャツを着ていた。,基本単語
0716,,talented,形,/ˈtæɫəntɪd/,[形] 才能のある,,He is a talented musician with a passion for performing in front of others.,彼は才能のあるミュージシャンで，人前で演奏することに情熱がある。,基本単語
0717,,tease,動,/ˈtiz/,[動] をからかう,,The children were teasing each other in the playground at school.,その子どもたちは，学校の遊び場でふざけ合っていた。,基本単語
0718,,thoughtful,形,/ˈθɔtfəɫ/,[形] 思慮深い、気がきく,,"His thoughtful gift was greatly appreciated, and I thanked him twice.",彼の思慮深い贈り物は非常にありがたく，私は彼に二度お礼を言った。,基本単語
0719,,trustworthy,形,/ˈtɹəstˌwɝði/,[形] 信頼できる,,The company hired a trustworthy contractor for the special project.,その企業は，その特別なプロジェクトのために信頼できる請負業者を雇った。,基本単語
0720,,amenity,名,/əˈmɛnəti/,[名] 快適な設備,,"The hotel offers many amenities, including a pool and spa.",そのホテルは，プールやスパなど，多くの快適な設備を提供している。,基本単語
0721,,binocular,名,/bəˈnɑkjəɫɝ/,[名] （(複)で）双眼鏡,,She used a pair of binoculars to get a closer view of the birds in the tree.,彼女は，その木の上にいる鳥をもっと詳しく見るために双眼鏡を使った。,基本単語
0722,,consider,動,/kənˈsɪdɝ/,[動] をよく考える,,What do you consider to be the most important thing in life?,あなたは，人生で最も大切なことは何だと考えますか。,基本単語
0723,,marriage,名,/ˈmɛɹɪdʒ/,[名] 結婚,,"In some countries, the average age of marriage has been rising.",一部の国々では，結婚する平均年齢が上がってきている。,基本単語
0724,,takeaway,名,/ˈteɪkəˌweɪ/,[名] ①持ち帰り用食品 ②（会議などで出た）重要な情報,,The important takeaway from the meeting was the need for better communication.,その会議から得られた大事な知識は，よりよいコミュニケーションの必要性だった。,基本単語
0725,,width,名,/ˈwɪdθ/,[名] 幅,,I measured the width of the bed to make sure it would fit into my bedroom.,私はそのベッドの幅を測り，それが自分の寝室に収まるかどうか確認した。,基本単語
0726,,tram,名,/ˈtɹæm/,[名] 路面電車、トラム,,The city is well known for its old tram connecting different sightseeing spots.,この街は，さまざまな観光スポットをつなぐ古くからの路面電車で有名だ。,基本単語
0727,,troop,名,/ˈtɹup/,[名] ①軍隊 ②群れ,,The troop of soldiers marched during the military parade.,軍事パレードで，その兵士たちの一団が行進した。,基本単語
0728,,warrior,名,"/ˈwɔɹiɝ/, /ˈwɔɹjɝ/",[名] 戦士、武士,,He dressed as a historical warrior for the costume party.,彼は仮装パーティーで，歴史上実在した戦士の扮装をした。,基本単語
0729,,discuss,動,/dɪˈskəs/,[動] を議論する,,I discussed international issues with my friend over a cup of coffee.,私は，コーヒーを飲みながら，友人と国際問題について議論をした。,基本単語
0730,,explanation,名,/ˌɛkspɫəˈneɪʃən/,[名] 説明,,You need to give a better explanation to persuade your boss.,上司を説得するためには，あなたはもっと上手な説明をする必要があります。,基本単語
0731,,cottage,名,"/ˈkɑtədʒ/, /ˈkɑtɪdʒ/",[名] 小屋、小別荘,,I want to buy a cottage that is located on a small island.,私は，その小さな島にある小さな家を購入したい。,基本単語
0732,,anxious,形,"/ˈæŋkʃəs/, /ˈæŋʃəs/",[形] ①心配して ②切望して,,I can’t sleep well these days because I’m anxious about the results of the exam.,私は，その試験の結果が心配で，最近よく眠れない。,基本単語
0733,,advise,動,"/ædˈvaɪz/, /ədˈvaɪz/",[動] に助言する,,The teacher advised her students to have breakfast every day.,その先生は，生徒たちに毎日朝食をとることを勧めた。,基本単語
0734,,deny,動,/dɪˈnaɪ/,[動] （事実でないと）否定する,,The man denied what was written in the email.,その男性は，そのメールに書かれていたことを否定した。,基本単語
0735,,heredity,名,/hɝˈɛdəti/,[名] 遺伝,,Heredity plays a crucial role in determining one’s physical appearance and health.,遺伝は，人の外見や健康を決定する上で重要な役割を果たしている。,基本単語
0736,,ivory,名,"/ˈaɪvɝi/, /ˈaɪvɹi/",[名] 象牙,,Many countries have banned the trade of ivory to protect elephants.,多くの国々が，ゾウを保護するために象牙の取引を禁止してきた。,基本単語
0737,,lorry,名,/ˈɫɔɹi/,[名] ①トラック ②(米) truck ③貨物車,,Our company has about 50 lorries that transport goods throughout the country.,わが社は，全国に商品を配送するトラックを，およそ50台保有している。,基本単語
0738,,beast,名,/ˈbist/,[名] 獣、野獣,,The beast in the fantasy story is feared because of its huge size and strength.,そのファンタジー物語に登場する獣は，その巨大さと力の強さで恐れられている。,基本単語
0739,,citizen,名,"/ˈsɪtəzən/, /ˈsɪtɪzən/",[名] 市民、国民,,The government provides various services to support its citizens.,政府は国民を支援するために，さまざまなサービスを提供している。,基本単語
0740,,metaphor,名,/ˈmɛtəfɔɹ/,[名] 隠喩、比喩,,The main character’s journey is a metaphor for personal growth and discovery.,その主人公の旅は，個人的な成長と発見の比喩となっている。,基本単語
0741,,orchard,名,/ˈɔɹtʃɝd/,[名] 果樹園,,We enjoyed picking fresh apples from the orchard during the harvest season.,収穫の季節に，私たちは果樹園で新鮮なリンゴを摘むのを楽しんだ。,基本単語
0742,,plumber,名,/ˈpɫəmɝ/,[名] 配管工,,The skilled plumber fixed the leaking pipe in the kitchen quickly.,その熟練した配管工は，台所の水漏れしているパイプを手早く修理した。,基本単語
0743,,tug,動 / 名,/ˈtəɡ/,[動] を引っ張る / [名] けん引,,The little girl tugged at her father’s sleeve to get his attention.,その幼い少女は，父親の注意を引こうとして服の袖を引っ張った。,基本単語
0744,,excessive,形,/ɪkˈsɛsɪv/,[形] 過度の,,Drinking excessive amounts of alcohol is bad for your health.,アルコール飲料の過度な摂取は，あなたの健康に害がある。,基本単語
0745,,tidy,形,/ˈtaɪdi/,[形] ①きちんとした ②整然とした,,My parents always tell me to keep my room tidy.,私の両親はいつも，私に部屋をきれいにしておくようにと言う。,基本単語
0746,,beverage,名,"/ˈbɛvɝɪdʒ/, /ˈbɛvɹɪdʒ/",[名] 飲み物,,Coffee is one of the most popular beverages among adults.,コーヒーは，大人の間で最も人気のある飲み物の1つだ。,基本単語
0747,,empty,形 / 動,"/ˈɛmpti/, /ˈɛmti/",[形] ①空の ②無人の / [動] 空にする,,"At the start of the academic year, it’s hard to find empty rooms in flats.",学年度の初めの頃は，アパートの空いている部屋を見つけるのは難しい。,基本単語
0748,,publish,動,/ˈpəbɫɪʃ/,[動] ①を出版する ②を公表する,,Fewer and fewer paper books are published each year.,出版される紙の本の数は，年々減ってきている。,基本単語
0749,,shave,動,/ˈʃeɪv/,[動] を剃る,,Be careful not to cut yourself when you shave.,ひげを剃るときには，切り傷を作らないように注意してください。,基本単語
0750,,mild,形,/ˈmaɪɫd/,[形] （態度・天候などが）おだやかな,,The weather was mild as we climbed the mountain.,私たちが山を登っている間，天気は穏やかだった。,基本単語
0751,,swing,動 / 名,/ˈswɪŋ/,[動] を揺らす、揺れる / [名] 揺れること,,The baseball player swung the bat and hit the ball far into the air.,その野球選手はバットを振り，ボールを遠くまで飛ばした。,基本単語
0752,,stir,動,/ˈstɝ/,[動] をかき回す、かき混ぜる,,The cook put salt and pepper into the soup and stirred it.,その料理人は，スープに塩とコショウを入れてかき混ぜた。,基本単語
0753,,forgive,動,"/fɝˈɡɪv/, /fɔɹˈɡɪv/",[動] を許す,,She forgave me for my past errors and focused on the present.,彼女は私の過去の過ちを許し，今のことだけを考えてくれた。,基本単語
0754,,pretend,動,/pɹiˈtɛnd/,[動] ①(pretend to doで)〜するふりをする ②と偽る,,"She tried to pretend that everything was fine, but I knew there was something wrong.",彼女は，すべてが順調なふりをしようとしたが，私は何かがおかしいことを知っていた。,基本単語
0755,,quantity,名,/ˈkwɑntəti/,[名] 量、数量,,The quality of the product matters much more than the quantity produced.,その製品の質の方が，生産する量よりはるかに重要である。,基本単語
0756,,invent,動,/ˌɪnˈvɛnt/,[動] を発明する,,Many people are trying to invent a machine that can recycle waste.,多くの人が，ゴミをリサイクルすることのできる装置を発明しようとしている。,基本単語
0757,,prohibit,動,/pɹoʊˈhɪbət/,[動] を禁止する,,The new law prohibits smoking in all public places.,その新しい法律は，あらゆる公共の場所での喫煙を禁止している。,基本単語
0758,,ban,動 / 名,/ˈbæn/,[動] を禁止する / [名] 禁止令,,The government has decided to ban the use of plastic packaging.,政府は，プラスチック包装の使用を禁止することを決定した。,基本単語
0759,,resist,動,"/ɹiˈzɪst/, /ɹɪˈzɪst/",[動] に抵抗する、をがまんする,,She couldn’t resist the urge to buy the new dress.,彼女は，新しいドレスを買いたいという衝動をがまんできなかった。,基本単語
0760,,assure,動,/əˈʃʊɹ/,[動] を保証する,,The company’s CEO assured its employees that there would be no layoffs.,その企業のCEOは，従業員に解雇をしないことを保証した。,基本単語
0761,,translate,動,"/tɹænˈsɫeɪt/, /tɹænzˈɫeɪt/",[動] を翻訳する,,Japanese is known as one of the most difficult languages to translate.,日本語は，翻訳するのが最も難しい言語の１つとして知られている。,基本単語
0762,,scary,形,/ˈskɛɹi/,[形] 恐ろしい,,The film was so scary that I couldn’t sleep well that night.,その映画はとても怖かったので，私はその夜，よく眠れなかった。,基本単語
0763,,fasten,動,/ˈfæsən/,[動] を固定する、を留める、を締める,,The cabin attendant asked me to fasten my seatbelt before the plane took off.,その客室乗務員は私に，飛行機が離陸する前にシートベルトを締めるよう言った。,基本単語
0764,,polish,動,"/ˈpɑɫɪʃ/, /ˈpoʊɫɪʃ/",[動] を磨く、のつやを出す,,"Whenever he has some free time, he polishes his shoes.",彼は，時間があるときはいつも自分の靴を磨いている。,基本単語
0765,,via,前,"/ˈvaɪə/, /ˈviə/",[前] 〜経由で,,They travelled to London via Dubai in order to save money.,彼らはお金を節約するためにドバイ経由でロンドンに移動した。,基本単語
0766,,submit,動,/səbˈmɪt/,[動] を提出する,,"He had forgotten to submit the essay by the due date, so he got a lower grade.",彼は，期日までに小論文を提出するのを忘れていたので，低い成績をつけられた。,基本単語
